xllcorner,yllcorner,cellsize,nrows,ncols,band,units,scale,latitude,longitude,site,product,start,end,complete,modis_date,date,tile,proc_date,pixel,ndvi_value,year,month,season,ndvi_mean,ndvi_sd,ndvi_anomaly,stress_class
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018001,2018-01-01,h24v06,2021313030137,1,983,2018,1,Winter,1340.1739130434783,743.9866057700349,-0.4800811066669662,Normal
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018017,2018-01-17,h24v06,2021314195715,1,1142,2018,1,Winter,1340.1739130434783,743.9866057700349,-0.26636758176360703,Normal
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018033,2018-02-02,h24v06,2021317104213,1,1004,2018,2,Winter,1340.1739130434783,743.9866057700349,-0.45185479205708856,Normal
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018049,2018-02-18,h24v06,2021319204939,1,1028,2018,2,Winter,1340.1739130434783,743.9866057700349,-0.41959614678865703,Normal
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018065,2018-03-06,h24v06,2021319221423,1,1037,2018,3,Spring,1340.1739130434783,743.9866057700349,-0.40749915481299515,Normal
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018081,2018-03-22,h24v06,2021323055750,1,995,2018,3,Spring,1340.1739130434783,743.9866057700349,-0.4639517840327504,Normal
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018097,2018-04-07,h24v06,2021328091904,1,924,2018,4,Spring,1340.1739130434783,743.9866057700349,-0.5593836096185272,Normal
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018113,2018-04-23,h24v06,2021328223330,1,884,2018,4,Spring,1340.1739130434783,743.9866057700349,-0.6131480183992465,Normal
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018129,2018-05-09,h24v06,2021339231643,1,907,2018,5,Spring,1340.1739130434783,743.9866057700349,-0.5822334833503329,Normal
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018145,2018-05-25,h24v06,2021339231943,1,899,2018,5,Spring,1340.1739130434783,743.9866057700349,-0.5929863651064767,Normal
